ISOCODE,UNSDCODE,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
SHN,654,Saint Helena,654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KNA,659,Saint Kitts and Nevis,659,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AIA,660,Anguilla,660,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCA,662,Saint Lucia,662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.19,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
SPM,666,Saint Pierre and Miquelon,666,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VCT,670,Saint Vincent and the Grenadines,670,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STP,678,Sao Tome and Principe,678,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
SAU,682,Saudi Arabia,682,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,3.80,0.48,1.62,7.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
SEN,686,Senegal,686,0.00,0.00,0.00,0.00,0.00,0.00,21.65,0.00,239.81,271.46,135.60,"968,490.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"51,008.37"
SRB,688,Serbia,688,28.08,14.15,8.10,"1,930.47",15.47,333.96,88.77,0.63,294.48,10.63,"1,640.06",183.30,18.81,86.09,315.31,"1,149.75",13.65,0.69,10.71,323.32
