UNSDCODE,COUNTRY,ISOCODE,CIESINCODE,country_pop,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC
196,Cyprus,CYP,196," 1,111,066 ",1.37,9.81,5.07,16.74,53.49,34.24,196.12,152.84,14.19,1.51,31.62,27.38,0.23,5.63,4.51,28.04,31.53,4.20,2.29
203,Czech Republic,CZE,203," 10,600,264 ","1,528.81",533.62,397.17,593.10,430.00,43.58,202.06,280.42,83.12,61.75,66.62,839.41,169.74,104.69,71.31,40.62,48.51,59.39,261.72
204,Benin,BEN,204," 8,862,270 ","1,540,659.52","1,629,000.91","1,970,409.48","1,675,356.78","1,531,926.93","2,632,767.27","1,773,852.93","1,201,529.40","2,278,668.53","1,378,499.77","1,462,834.40","1,086,293.25","1,331,891.71","852,271.15","908,660.19","743,090.91","923,506.90","704,457.07","488,642.00"
208,Denmark,DNK,208," 5,594,552 ",217.08,11.06,31.69,8.46,79.90,91.51,68.91,326.60,22.96,257.72,5.40,61.46,25.87,7.33,3.05,7.61,19.38,29.99,18.67
212,Dominica,DMA,212," 71,317 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Dominican Republic,DOM,214," 9,612,461 ","12,414.06","2,406.65","1,644.18","5,737.44","37,017.91","4,360.49","4,982.76",444.11,"180,396.06","1,343.79","2,975.75","3,727.32","1,265.51","8,355.82","4,613.44",841.58,"9,512.72","14,679.93","5,636.77"
218,Ecuador,ECU,218," 14,505,446 ","1,790.70",943.75,950.34,"213,605.24","4,208.61","1,487.29","1,624.38","2,329.20","9,586.35",750.97,"5,696.95","5,458.00","10,311.91",618.51,"1,909.86","8,603.34","16,567.11","2,548.31","4,497.06"
222,El Salvador,SLV,222," 5,919,600 ",353.83,905.71,495.03,"1,468.30",617.08,857.33,764.99,525.38,816.13,862.84,734.75,249.81,392.02,291.93,212.48,539.53,"10,100.79",778.18,"2,081.15"
226,Equatorial Guinea,GNQ,226," 1,844,130 ",64.92,922.95,135.81,23.71,"1,890.20",598.83,106.88,146.94,550.58,76.82,66.60,104.49,103.74,201.55,"1,031.66",201.65,"1,294.26",400.98,267.39
231,Ethiopia,ETH,231," 79,834,608 ","10,212,697.45","4,163,463.10","4,819,697.35","4,486,525.27","1,778,408.13","5,387,802.90","3,617,896.33","2,748,086.55","6,105,817.44","2,763,709.97","4,050,372.26","3,294,638.93","3,796,424.01","3,268,132.41","3,112,537.10","3,256,042.81","3,440,723.28","3,485,910.53","3,665,631.49"
232,Eritrea,ERI,232," 3,692,497 ","58,762.52","3,851.37","19,674.76","21,979.83","26,186.11","14,853.31","12,451.45","7,916.80","2,669.59","5,405.03","12,609.87","5,227.58","1,222.33","1,859.20","2,479.47","3,385.00","1,296.72","2,148.94","2,269.49"
233,Estonia,EST,233," 1,244,178 ","4,143.51",16.47,5.57,20.37,30.25,432.39,72.40,0.00,45.74,"1,013.13",8.16,342.91,1.80,16.87,6.68,0.09,26.65,25.87,20.53
234,Faeroe Islands,FRO,234," 48,568 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
238,Falkland Islands (Malvinas),FLK,238," 2,805 ",4.38,2.51,6.30,0.08,534.25,13.33,0.12,20.94,19.79,12.10,0.04,2.79,0.74,9.50,1.22,279.89,11.34,3.45,15.93
242,Fiji,FJI,242," 856,740 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
246,Finland,FIN,246," 5,325,219 ",390.99,429.45,74.76,97.43,74.38,87.78,86.55,12.00,100.72,142.27,12.72,74.14,13.55,12.25,45.87,13.78,58.20,9.29,8.27
248,Åland Islands,ALA,248," 28,147 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
250,France,FRA,250," 63,146,437 ","11,697.27","3,712.76","8,571.26","10,107.75","4,107.44","2,801.32","40,217.92","3,662.00","4,746.96",786.79,866.51,"4,888.07","4,683.12","1,843.16",805.72,"2,199.31","1,309.18","2,362.37","1,089.05"
254,French Guiana,GUF,254," 246,951 ","4,916.98",787.70,"1,890.05",1.10,"4,065.24",639.61,"3,341.73","1,326.96","1,836.18","1,198.32","1,213.51","5,022.79","2,256.74",750.52,116.65,"1,765.86",45.19,815.60,943.97
258,French Polynesia,PYF,258," 269,897 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
262,Djibouti,DJI,262," 836,254 ",0.55,45.54,64.98,0.08,11.12,0.00,9.74,0.09,8.83,0.53,0.00,0.07,0.00,0.69,0.72,1.09,1.05,12.56,0.13
266,Gabon,GAB,266," 2,117,537 ","265,775.90","98,797.69","273,204.79","145,844.48","830,191.70","370,295.34","47,246.50","75,846.66","38,534.54","98,549.42","82,109.91","60,956.85","116,111.28","62,925.36","98,425.37","308,476.47","249,741.67","198,196.87","124,077.68"
268,Georgia,GEO,268," 4,711,278 ",412.63,"8,063.39","1,429.99","1,056.29","10,151.07",736.24,986.62,"16,880.21","6,776.50","2,209.78","1,861.75","1,583.06",455.24,"2,594.02",963.22,581.82,796.78,"1,023.87","29,277.61"
270,Gambia,GMB,270," 1,442,426 ","50,440.52","15,396.08","11,130.45","17,507.24","26,461.14","31,321.87","14,166.31","33,647.14","25,146.66","32,538.31","15,348.94","16,010.41","14,558.54","16,827.73","17,652.50","11,221.03","13,932.84","10,492.90","5,912.21"
275,State of Palestine,PSE,275," 3,882,791 ",0.09,9.55,0.26,0.05,0.93,5.09,5.19,73.73,0.41,0.52,3.43,0.53,0.61,1.05,0.82,1.50,1.44,12.38,1.19
276,Germany,DEU,276," 81,093,453 ","12,248.19",906.17,"1,376.62",366.39,339.81,36.69,113.94,225.07,118.48,105.58,26.45,"2,560.32",69.32,71.28,104.99,123.08,125.88,141.87,812.65
288,Ghana,GHA,288," 25,239,486 ","3,389,398.00","6,879,440.37","3,296,464.97","4,818,975.60","4,227,750.13","5,239,355.77","6,204,666.18","2,584,538.69","5,963,324.79","5,497,810.80","4,634,915.23","4,927,380.18","4,048,475.33","3,087,624.68","4,234,619.52","4,270,345.50","4,764,670.84","3,400,859.31","4,713,599.57"
296,Kiribati,KIR,296," 103,058 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
300,Greece,GRC,300," 10,909,531 ","5,393.86","17,732.47","5,761.83","200,786.55","23,314.91","7,638.16","3,034.70","15,661.10","2,544.61","4,387.59","326,798.59","21,970.97","15,242.89","2,490.41","13,457.73","24,257.14","7,739.07","8,235.29","1,688.42"
304,Greenland,GRL,304," 56,356 ",0.04,125.65,0.05,0.62,0.99,1.42,0.68,0.00,0.00,0.00,0.02,0.03,0.50,0.00,0.05,0.39,0.00,0.22,2.59
308,Grenada,GRD,308," 101,974 ",0.03,0.01,0.04,0.01,0.00,0.00,0.58,0.00,0.00,0.00,0.16,0.46,0.00,3.82,0.00,0.00,0.00,0.00,0.24
312,Guadeloupe,GLP,312," 403,521 ",0.04,28.56,0.12,0.07,13.99,0.00,1.03,0.00,0.00,45.11,0.45,0.55,0.08,3.88,0.00,0.00,2.04,0.11,0.99
316,Guam,GUM,316," 159,358 ",0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,Guatemala,GTM,320," 14,310,647 ","39,469.57","17,394,479.61","54,125.61","9,287,117.52","9,112.01","62,327.59","1,629,677.85","12,450.62","2,170,545.32","30,073.23","323,120.73","84,755.79","231,061.89","40,544.27","38,997.40","25,687.95","112,046.07","20,465.92","30,152.08"
324,Guinea,GIN,324," 9,605,636 ","2,619,433.70","7,512,869.70","2,908,629.88","2,431,594.92","2,466,116.29","5,204,745.18","2,042,791.08","2,050,618.96","2,377,896.34","2,253,897.86","1,843,404.55","3,043,440.18","2,506,948.21","1,612,044.94","1,635,834.61","2,343,128.84","2,363,200.37","1,802,942.09","1,268,171.21"
328,Guyana,GUY,328," 717,374 ","38,748.13","93,208.16","2,369.48",997.35,"6,619.42","6,114.74","31,500.17","8,254.58","13,093.28","6,277.99","7,910.02","4,960.28","10,945.58","2,602.40","1,667.11","8,704.42","4,940.37","15,241.84","48,636.16"
332,Haiti,HTI,332," 10,062,127 ",91.25,41.22,93.46,265.89,80.05,73.36,57.66,269.19,247.76,212.98,89.26,152.62,70.64,49.93,56.90,87.32,155.29,53.04,87.52
340,Honduras,HND,340," 8,051,227 ","75,693.92","2,053,744.45","12,430.23","84,468.50","16,900.78","8,271.54","335,418.62","2,734.41","162,735.02","31,906.23","17,731.48","39,192.58","25,344.47","10,107.34","74,237.42","4,101.29","32,682.31","41,239.07","18,460.01"
344,China Hong Kong Special Administrative Region,HKG,344," 7,002,579 ",7.15,18.18,0.60,0.08,0.00,0.67,6.44,16.76,1.06,32.75,4.90,16.73,13.27,14.18,1.70,0.99,5.03,0.03,5.68
348,Hungary,HUN,348," 9,884,697 ",492.71,286.81,273.51,"50,752.64","8,639.76","2,078.11","2,590.04","1,123.32","2,157.66",879.81,906.68,"1,431.00",833.20,102.20,496.75,"1,723.34",191.94,459.47,143.48
352,Iceland,ISL,352," 318,048 ",7.51,1.49,4.13,302.27,0.00,0.00,0.00,0.00,0.00,21.93,0.00,0.00,0.02,0.40,0.00,0.12,0.00,658.15,7.73
356,India,IND,356," 1,195,222,286 ","352,766.31","412,708.59","1,106,278.41","486,492.92","230,839.75","287,811.67","445,198.24","355,509.59","704,733.96","1,504,340.26","737,893.66","519,084.08","2,137,335.58","1,271,124.82","784,123.38","1,100,724.48","714,098.33","1,109,170.18","1,456,480.43"
360,Indonesia,IDN,360," 237,537,564 ","248,763,695.90","3,838,646.41","1,546,921.21","561,543.80","1,295,007.32","19,730,185.62","1,780,019.87","8,324,471.86","4,281,688.72","36,211,541.74","397,491.14","236,430.94","21,019,043.33","63,678.31","2,488,243.07","2,872,962.28","3,629,118.15","13,737,875.31","35,704,146.33"
364,Iran (Islamic Republic of),IRN,364," 74,800,937 ",447.09,"11,062.11",985.71,"13,728.05",869.54,"2,825.22","5,219.56","51,296.88","2,327.00","1,953.36","7,570.44","1,334.24","1,969.14","23,865.58",884.76,850.75,"1,456.80","2,216.07","5,510.37"
368,Iraq,IRQ,368," 32,319,336 ",286.79,"1,988.27",967.32,"7,063.53","3,277.18","3,392.27","1,127.75","8,749.79",170.30,191.48,640.27,"2,613.97","1,901.43","3,979.89","2,262.21",495.59,330.29,"1,645.66","10,442.99"
372,Ireland,IRL,372," 4,533,560 ",24.33,17.49,10.77,8.40,31.02,69.19,106.51,1.17,11.00,35.05,230.77,14.23,2.42,130.80,296.30,0.26,7.48,3.44,356.42
376,Israel,ISR,376," 7,819,258 ",135.84,805.53,378.88,233.50,76.74,155.81,60.02,142.85,73.86,88.77,125.65,10.12,35.79,367.61,36.93,7.03,66.54,13.15,14.64
380,Italy,ITA,380," 59,145,777 ","13,971.79","15,817.97","54,069.55","28,164.41","20,097.51","45,393.99","21,803.46","56,632.60","7,655.09","2,810.56","45,504.06","30,724.51","11,346.54","13,559.07","7,765.47","27,151.60","4,242.93","27,127.53","2,420.38"
384,Côte d'Ivoire,CIV,384," 20,487,256 ","1,947,497.39","5,500,551.50","4,582,015.80","2,517,679.07","2,553,279.35","4,167,418.27","2,595,883.85","969,038.40","2,471,484.88","2,445,234.46","1,967,944.26","2,133,768.80","1,849,479.57","1,162,782.04","1,571,684.03","1,118,579.62","1,529,584.76","728,411.31","979,201.59"
388,Jamaica,JAM,388," 2,688,729 ",19.97,83.97,75.53,124.40,24.57,158.88,210.71,72.44,383.53,317.42,15.19,66.43,494.73,531.10,112.26,50.55,273.96,134.81,145.68
392,Japan,JPN,392," 128,055,909 ","53,996.45","23,085.17","33,514.16","9,940.15","4,616.93","3,815.84","8,051.27","31,836.50","4,115.21","4,354.61","8,458.57","4,527.54","3,850.16","3,928.60","8,606.52","3,510.22","3,883.68","4,206.72","5,158.97"
398,Kazakhstan,KAZ,398," 16,423,490 ","3,981,687.91","1,094,693.62","310,647.05","1,606,150.49","1,848,939.20","8,456,778.48","2,117,061.24","2,453,197.24","3,693,249.44","3,862,209.68","2,246,061.93","2,617,292.52","973,389.81","3,383,453.19","928,096.38","1,645,186.95","166,335.14","2,141,235.29","2,719,384.96"
400,Jordan,JOR,400," 6,006,096 ",5.23,53.40,18.86,6.43,0.79,1.68,0.97,381.76,1.80,0.15,0.25,1.94,1.38,6.96,0.56,0.30,2.03,0.70,9.42
404,Kenya,KEN,404," 39,485,425 ","312,110.97","1,044,160.24","189,136.04","871,009.94","72,715.85","67,350.00","181,456.47","45,541.23","53,997.15","20,734.27","126,571.53","62,457.65","47,419.43","26,420.48","31,857.78","209,077.19","47,907.24","36,469.29","67,543.50"
408,Democratic People's Republic of Korea,PRK,408," 23,212,239 ","748,638.94","108,181.16","32,783.93","118,946.28","161,198.88","8,300.55","13,578.69","37,276.78","19,387.86","5,139.48","8,155.90","10,707.33","22,004.63",936.44,"27,540.09","5,453.91","1,370.75","16,541.43","10,887.33"
410,Republic of Korea,KOR,410," 47,864,790 ","47,582.45","14,151.72","20,193.77","114,694.39",960.78,"1,436.70",309.07,"9,215.05","1,814.03","1,242.03","1,291.44","1,159.62","1,085.53","1,010.86","1,766.26","1,129.22","1,997.36","2,455.88","3,067.32"
414,Kuwait,KWT,414," 2,565,552 ",15.61,94.12,24.54,12.78,56.46,218.48,7.52,"1,892.89",47.00,5.83,12.31,2.07,3.93,1.05,2.50,10.18,5.02,55.03,0.38
417,Kyrgyzstan,KGZ,417," 6,128,063 ","14,183.33","1,512.28","1,163.09","3,802.23","7,614.27","12,183.87","4,140.18","61,200.96","5,793.21","4,163.63","4,209.69","1,209.73","7,347.08",794.47,"12,281.99",336.03,966.03,"1,085.84","5,270.24"
418,Lao People's Democratic Republic,LAO,418," 6,414,043 ","267,498.59","2,499,367.75","1,019,388.44","818,246.88","125,333.55","438,927.25","435,498.67","154,704.18","1,140,189.82","575,269.26","1,463,440.27","231,919.54","658,604.98","2,329,898.51","166,822.07","607,932.20","601,731.10","803,764.72","524,805.41"
422,Lebanon,LBN,422," 5,913,842 ",1.92,19.87,7.70,0.57,7.40,111.46,12.82,522.49,2.20,210.03,81.29,1.48,11.13,18.86,7.60,5.14,23.39,7.06,8.30
